age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
33,1,44372,9,4,10,3,4,1,0,0,40,39,0
21,4,27813,11,4,8,1,4,0,0,0,40,39,0
57,4,61820,8,2,7,0,4,1,7638,0,40,39,1
43,4,187292,15,0,12,1,4,0,0,1431,40,39,0
50,4,197957,0,2,3,0,4,1,0,0,40,39,0
44,4,199028,9,2,13,0,4,1,0,0,40,39,0
23,4,165273,15,4,1,1,4,0,0,0,61,39,0
43,4,234005,14,2,10,0,4,1,0,0,50,39,1
31,4,134201,11,2,3,0,4,1,0,0,45,39,0
40,4,176846,11,2,6,0,4,1,0,0,40,39,1
20,4,142726,11,2,3,0,4,1,0,0,40,39,0
41,5,131593,8,2,1,0,4,1,7598,0,83,39,1
19,4,49476,11,4,1,2,4,0,0,0,29,39,0
44,4,82080,11,0,1,4,2,0,0,0,40,39,0
24,4,276304,9,4,1,1,4,1,0,0,40,39,0
40,4,363605,11,2,3,0,2,1,0,0,40,39,0
38,4,117242,7,2,10,5,1,0,0,0,20,17,0
71,0,51594,0,2,0,0,4,1,0,0,40,39,0
33,6,121357,11,2,8,0,4,1,0,0,60,39,1
52,4,178979,11,0,7,1,4,0,0,0,40,39,0
55,7,199266,12,2,10,0,4,1,0,0,21,39,0
27,4,205323,11,4,3,0,4,1,0,0,40,39,0
43,2,616041,9,2,10,0,4,1,0,0,40,39,0
52,4,21099,9,2,4,0,4,1,0,0,38,39,1
40,4,210441,8,2,3,0,4,1,0,0,40,39,0
39,2,437155,7,2,3,0,4,1,0,1889,40,39,1
35,4,192144,9,4,1,3,4,1,0,0,55,39,0
34,4,183804,11,4,7,3,4,1,0,0,33,33,0
20,4,260635,15,4,12,3,4,0,0,0,40,39,0
40,4,32374,9,2,8,5,4,0,0,0,40,39,0
57,5,361706,11,2,8,5,4,0,3419,0,56,39,0
37,4,238084,8,2,1,5,4,0,0,1891,60,11,1
25,4,239092,6,4,3,2,1,1,0,0,55,30,0
17,4,119055,9,4,10,3,4,0,0,0,40,39,0
31,4,159233,15,4,4,1,1,0,0,0,35,37,0
41,5,123051,15,2,12,0,4,1,0,0,40,39,1
36,4,190993,5,2,4,2,4,0,0,0,40,26,0
36,4,317567,7,2,1,0,4,1,0,0,40,39,0
46,4,205952,12,0,10,4,4,0,3514,0,45,39,0
37,4,315483,8,2,7,0,4,1,0,0,40,39,0
44,4,385408,11,2,3,0,4,1,0,0,40,39,0
45,4,286208,15,6,4,4,4,0,0,0,45,39,0
21,4,215788,11,4,7,3,4,0,0,0,40,39,0
42,4,170527,15,0,12,1,4,0,0,0,40,39,0
54,2,116761,11,5,3,1,4,1,0,0,55,39,0
27,4,203889,9,4,4,3,4,1,0,0,21,39,0
42,5,244372,10,2,13,0,4,1,0,0,45,11,0
47,6,78845,9,0,4,1,4,1,0,0,40,20,0
70,4,122580,9,2,3,0,4,1,0,0,40,39,0
60,5,182435,15,2,5,0,4,1,0,0,61,39,0
42,4,292425,15,4,8,3,4,1,0,0,40,39,0
22,4,169292,9,2,12,0,4,1,0,0,20,39,0
27,4,35383,15,4,4,3,4,0,0,0,34,39,0
49,4,328361,11,4,12,1,4,0,0,0,45,39,0
28,2,232850,9,4,13,1,4,0,0,0,42,39,1
30,4,237425,9,4,1,4,4,0,0,0,40,39,0
36,5,176831,12,2,10,0,1,1,3554,0,40,19,1
41,4,219909,9,2,4,0,4,1,0,0,55,39,1
28,4,58439,15,4,8,3,4,0,0,0,28,39,0
37,4,165091,11,2,3,0,4,1,0,0,40,39,0
31,4,121141,2,4,7,1,4,1,0,0,83,39,0
46,4,616009,9,5,1,4,2,0,0,0,40,39,0
51,6,164997,12,2,4,0,4,1,7629,0,50,39,1
48,4,284399,11,0,3,1,4,0,0,0,40,39,0
23,4,326229,1,4,1,3,4,0,0,0,40,39,0
35,4,479360,15,2,13,0,4,1,0,0,40,39,0
30,4,163814,9,4,10,1,4,0,0,1876,40,39,1
46,4,160744,9,2,4,0,4,1,0,0,50,39,1
64,6,115220,11,0,12,1,4,0,0,0,20,39,0
31,4,194767,9,4,9,3,4,0,0,2035,40,8,0
28,4,67842,11,0,1,4,4,0,0,0,36,39,0
26,4,90037,15,4,8,3,4,0,0,0,16,39,0
46,2,141121,12,2,4,0,4,1,0,0,40,39,1
22,4,164338,15,4,3,3,4,1,0,0,40,39,0
45,4,117772,11,0,3,1,4,1,0,0,40,39,0
20,0,148253,5,2,0,5,4,0,0,0,32,39,0
85,0,62564,11,2,0,0,4,1,3452,0,40,39,0
40,4,117026,11,2,3,0,2,1,0,0,40,39,0
30,4,143639,0,2,3,0,4,1,0,0,45,39,1
39,4,226672,11,4,8,3,4,0,0,0,20,39,0
47,4,184590,11,3,8,1,4,0,0,0,23,39,0
39,4,222644,11,2,3,0,4,1,0,0,40,39,0
